"Topic_No","Topic_Name","% of Corpus","SRPV_Share","sumSRPV","Date","Market","Matched_50_Top_10","Matched_60_Top_3","Matched_60_Top_5","Top_20_Words"
0,"['woman', 'men', 'shoe']",2.1,2.3,394837,2018-11-15,"en-GB",0.203838461,0.315979403,0.176671348,"woman | men | shoe | dress | clothing | shop | boot | style | jacket | range | fashion | size | online | coat | debenhams | collection | discover | bag | shirt | wide"
1,"['porn', 'video', 'sex']",2,2.2,371316,2018-11-15,"en-GB",0.69486988,0.87926827,0.780972847,"porn | video | sex | xxx | tube | movie | quality | watch | pornhubcom | clip | growing | relevant | collection | high | discover | pornhub | scene | teen | gay | xhamster"
2,"['ebay', 'shop', 'great']",2.9,2.7,450504,2018-11-15,"en-GB",0.915316706,0.95209249,0.938408188,"ebay | shop | great | deal | confidence | selection | toy | item | shipping | set | kit | bag | bike | shopping | vintage | accessory | feed | model | perfect | coin"
3,"['job', 'apply', 'hiring']",1.8,1.7,282611,2018-11-15,"en-GB",0.528299547,0.689479883,0.56215775,"job | apply | hiring | indeedcouk | site | largest | world | totaljobs | career | vacancy | recruitment | noticed | salary | latest | search | instant | manager | match | reedcouk | today"
4,"['house', 'price', 'average']",1.2,1,161548,2018-11-15,"en-GB",0.429571658,0.562104215,0.471954692,"house | price | average | road | sold | property | postcode | checker | value | exactly | tool | rightmove | information | registry | current | land | based | street | data | historic"
5,"['school', 'primary', 'academy']",1.9,1.8,298697,2018-11-15,"en-GB",0.074000845,0.405852881,0.221820171,"school | primary | academy | pupil | secondary | education | college | comparison | high | term | welcome | teacher | parent | girl | catholic | date | list | boy | community | independent"
6,"['property', 'sale', 'agent']",1.5,1,174941,2018-11-15,"en-GB",0.55067215,0.726069609,0.635025474,"property | sale | agent | estate | flat | rent | rightmove | house | bedroom | search | portal | developer | letting | buy | leading | datadriven | zoopla | home | primelocation | largest"
7,"['news', 'latest', 'breaking']",1.4,3.6,597576,2018-11-15,"en-GB",0.198653788,0.742618357,0.391352217,"news | latest | breaking | story | headline | sport | tweet | analysis | update | daily | bbc | newspaper | video | politics | commentary | newsnow | article | traffic | world | mail"
8,"['company', 'limited', 'registered']",1.7,1.1,182570,2018-11-15,"en-GB",0.493107025,0.680178915,0.572300612,"company | limited | registered | history | address | filing | house | annual | information | officer | return | account | activity | charge | director | office | financial | contact | registration | network"
9,"['care', 'home', 'nursing']",1,0.7,119103,2018-11-15,"en-GB",0.138681265,0.395445135,0.236937221,"care | home | nursing | social | residential | dementia | carehomecouk | support | patient | people | dental | adult | housing | nurse | inspection | visit | quality | healthcare | leading | provider"
10,"['christmas', 'tree', 'festive']",1.4,1.3,212901,2018-11-15,"en-GB",0.022026937,0.301068823,0.119993878,"christmas | tree | festive | decoration | market | santa | party | shipping | perfect | carol | selection | item | advert | season | largest | december | xmas | jumper | craft | ebay"
11,"['game', 'play', 'online']",2,2.9,485934,2018-11-15,"en-GB",0.063009123,0.506746853,0.288573434,"game | play | online | fun | xbox | player | unblocked | math | kid | puzzle | fortnite | console | gaming | cool | playing | board | nintendo | new | playstation | multiplayer"
12,"['product', 'water', 'energy']",3.7,2.5,420174,2018-11-15,"en-GB",0.018034122,0.075334168,0.017155256,"product | water | energy | door | design | range | gas | supply | quality | kitchen | oil | home | building | steel | material | wall | supplier | air | high | solution"
13,"['number', 'phone', 'mobile']",1.2,1,167146,2018-11-15,"en-GB",0.089459885,0.399325792,0.189407446,"number | phone | mobile | calling | telephone | called | user | report | contact | digit | area | landline | read | customer | searched | fraction | received | address | rating | cost"
14,"['definition', 'synonym', 'thesaurus']",2,1.9,312589,2018-11-15,"en-GB",0.451944889,0.526570228,0.479230969,"definition | synonym | thesaurus | english | antonym | translation | dictionary | alternative | thesauruscom | descriptive | online | meaning | pronunciation | collins | language | example | french | phrase | web | acronym"
15,"['facebook', 'people', 'connect']",1.2,1.2,201262,2018-11-15,"en-GB",0.554009444,0.612659689,0.573638476,"facebook | people | connect | power | know | join | named | share | view | friend | profile | log | family | make | tweet | page | young | life | message | twitter"
16,"['day', 'week', 'argo']",1.1,1.1,182588,2018-11-15,"en-GB",0.207687934,0.389100432,0.229139027,"day | week | argo | fast | delivery | date | set | collection | hour | month | calendar | november | nursery | open | working | work | monday | sunday | minute | countdown"
17,"['rate', 'currency', 'exchange']",0.6,0.7,115149,2018-11-15,"en-GB",0.391043051,0.5266397,0.477058654,"rate | currency | exchange | pound | gbp | dollar | euro | british | convert | usd | sterling | converter | eur | conversion | foreign | chart | live | money | calculator | travel"
18,"['weather', 'forecast', 'temperature']",0.7,0.8,127442,2018-11-15,"en-GB",0.402941735,0.628646639,0.556324459,"weather | forecast | temperature | day | rain | wind | accuweathercom | hourly | report | warning | sunny | shower | cloud | breeze | kingdom | precipitation | united | pressure | outlook | speed"
19,"['train', 'ticket', 'bus']",0.9,0.9,146204,2018-11-15,"en-GB",0.328672155,0.518749754,0.427817387,"train | ticket | bus | station | travel | rail | trainline | cheap | live | journey | route | europe | retailer | independent | timetable | railway | leading | fare | coach | information"
20,"['hotel', 'book', 'stay']",1,1.2,197869,2018-11-15,"en-GB",0.430672385,0.618049292,0.48966482,"hotel | book | stay | tripadvisor | room | deal | great | candid | inn | spa | review | traveller | availability | photo | luxury | accommodation | break | guest | star | rate"
21,"['child', 'kid', 'need']",1.4,1.2,199483,2018-11-15,"en-GB",0.061052659,0.345000714,0.171741415,"child | kid | need | young | parent | family | adult | learning | support | baby | help | pudsey | development | activity | childrens | age | safeguarding | people | charity | abuse"
22,"['flight', 'airport', 'airline']",0.8,0.8,135535,2018-11-15,"en-GB",0.277371087,0.571040516,0.438674033,"flight | airport | airline | cheap | book | compare | airway | departure | travel | status | heathrow | price | arrival | air | manchester | destination | international | deal | fly | cheapest"
23,"['tax', 'income', 'pay']",0.8,0.7,117865,2018-11-15,"en-GB",0.114487841,0.438456814,0.271536134,"tax | income | pay | hmrc | rate | pension | allowance | benefit | payment | vehicle | vat | credit | calculator | salary | claim | band | april | employer | employee | personal"
24,"['park', 'parking', 'street']",0.7,1.1,193195,2018-11-15,"en-GB",0.151487304,0.350302297,0.219008464,"park | parking | street | pay | airport | charge | display | garage | meter | private | space | hour | station | map | postcode | road | caravan | ride | opening | located"
25,"['code', 'discount', 'voucher']",1.1,1.3,216988,2018-11-15,"en-GB",0.17827774,0.295990547,0.268414582,"code | discount | voucher | promo | november | area | coupon | country | tested | valid | verified | offer | money | international | dialing | latest | dialling | spend | saving | sort"
26,"['music', 'song', 'lyric']",2.2,1.9,321716,2018-11-15,"en-GB",0.166359551,0.48696376,0.286619468,"music | song | lyric | album | youtube | artist | love | listen | video | track | band | amazon | piano | stream | official | original | rock | play | guitar | sheet"
27,"['university', 'student', 'course']",1.6,1.7,282567,2018-11-15,"en-GB",0.117539465,0.452332964,0.256247452,"university | student | course | college | education | research | study | training | learning | degree | campus | staff | library | academic | undergraduate | science | postgraduate | career | graduate | ranking"
28,"['opening', 'map', 'contact']",1.8,1.1,189707,2018-11-15,"en-GB",0.695193423,0.819844936,0.778006146,"opening | map | contact | direction | local | search | hour | yell | photo | road | review | information | surgery | hospital | address | phone | video | servicetreatment | street | driving"
29,"['image', 'stock', 'photo']",1.1,0.9,146131,2018-11-15,"en-GB",0.331840573,0.52667894,0.374185202,"image | stock | photo | vector | million | picture | affordable | royalty | illustration | royaltyfree | search | art | collection | cartoon | commercial | attribution | shutterstock | thousand | stunning | use"
30,"['event', 'ticket', 'theatre']",1.2,1.1,188889,2018-11-15,"en-GB",0.106542902,0.368828174,0.243851891,"event | ticket | theatre | tour | date | venue | concert | cinema | art | festival | ticketmaster | buy | november | upcoming | film | hall | arena | entertainment | seating | party"
31,"['window', 'microsoft', 'update']",1.5,1.9,312179,2018-11-15,"en-GB",0.083045454,0.328999666,0.180763468,"window | microsoft | update | computer | driver | version | install | software | app | screen | setting | laptop | desktop | click | printer | server | bit | program | device | open"
32,"['card', 'credit', 'payment']",0.9,1.4,243381,2018-11-15,"en-GB",0.037092367,0.305348613,0.1145991,"card | credit | payment | debit | greeting | balance | pay | money | sim | birthday | graphic | reward | travel | online | transfer | apply | account | purchase | visa | loan"
33,"['london', 'street', 'east']",1.2,1,166818,2018-11-15,"en-GB",0.035873188,0.244871588,0.086915023,"london | street | east | station | england | kingdom | south | west | road | united | borough | city | central | bridge | tower | underground | king | theatre | royal | greater"
34,"['file', 'open', 'pdf']",1,1.2,200202,2018-11-15,"en-GB",0.095192509,0.362772401,0.173309893,"file | open | pdf | folder | format | document | program | extension | click | text | convert | drive | computer | software | excel | select | want | type | adobe | application"
35,"['crossword', 'clue', 'answer']",0.5,0.5,87960,2018-11-15,"en-GB",0.498544448,0.685494178,0.624751491,"crossword | clue | answer | puzzle | solver | anagram | synonym | solution | daily | possible | definition | question | related | seen | spotted | solve | able | mirror | shown | crosswordnexuscom"
36,"['restaurant', 'review', 'tripadvisor']",1.6,1.4,231677,2018-11-15,"en-GB",0.348631537,0.647649995,0.556720601,"restaurant | review | tripadvisor | bar | menu | pub | dining | rated | unbiased | table | ranked | traveller | cuisine | inn | location | read | photo | italian | rating | candid"
37,"['ireland', 'northern', 'united']",1.1,1.2,205576,2018-11-15,"en-GB",0.076271625,0.340255619,0.158476637,"ireland | northern | united | england | kingdom | scotland | wale | brexit | belfast | country | irish | state | national | minister | european | union | government | britain | theresa | north"
38,"['google', 'map', 'chrome']",0.7,1.7,286713,2018-11-15,"en-GB",0.112804411,0.349160157,0.216367999,"google | map | chrome | search | web | webpage | gmail | image | browser | android | exactly | view | help | feature | special | apps | looking | world | driving | app"
39,"['football', 'sport', 'league']",1.3,1.6,266363,2018-11-15,"en-GB",0.159052211,0.38220607,0.264233284,"football | sport | league | live | team | fixture | result | sky | premier | score | match | rugby | player | cup | england | season | soccer | table | cricket | goal"
40,"['dog', 'pet', 'puppy']",0.9,0.7,114586,2018-11-15,"en-GB",0.072443806,0.357348185,0.227412465,"dog | pet | puppy | cat | animal | breed | rescue | rehome | rehoming | kennel | sell | training | vet | terrier | petshomes | owner | grooming | classified | veterinary | breeder"
41,"['sale', 'used', 'new']",1.5,1.4,237264,2018-11-15,"en-GB",0.126220551,0.564655426,0.396498443,"sale | used | new | dealer | vehicle | gumtree | ford | van | bmw | classified | model | motor | hand | sell | audi | second | auto | site | bike | range"
42,"['movie', 'watch', 'online']",1.5,1.8,302599,2018-11-15,"en-GB",0.105890785,0.445250423,0.341967055,"movie | watch | online | film | episode | series | season | cinema | channel | streaming | putlocker | stream | trailer | netflix | queue | subtitle | star | drama | dvd | registration"
43,"['time', 'table', 'zone']",0.9,0.9,146386,2018-11-15,"en-GB",0.076437588,0.178861952,0.057884192,"time | table | zone | clock | opening | hour | current | sunrise | sunset | dst | minute | date | gmt | daylight | cinema | difference | long | multiplication | period | moonrise"
44,"['holiday', 'cottage', 'book']",0.8,1.1,191967,2018-11-15,"en-GB",0.018673618,0.406503718,0.137317323,"holiday | cottage | book | calendar | travel | date | beach | term | break | cruise | destination | inclusive | family | package | resort | accommodation | coach | discover | deal | tui"
45,"['food', 'recipe', 'cake']",2.1,1.6,270493,2018-11-15,"en-GB",0.031399954,0.191248043,0.07090864,"food | recipe | cake | chicken | healthy | make | chocolate | diet | delicious | drink | meal | dish | good | eat | easy | calorie | sugar | cook | fruit | ingredient"
46,"['bank', 'banking', 'account']",0.9,2.1,358125,2018-11-15,"en-GB",0.149095301,0.501122929,0.245518878,"bank | banking | account | lloyd | loan | financial | barclays | mortgage | money | online | plc | branch | saving | credit | payment | hsbc | personal | scotland | internet | natwest"
47,"['data', 'use', 'cooky']",1.9,1.6,264738,2018-11-15,"en-GB",0.055593233,0.283566183,0.169192164,"data | use | cooky | website | site | information | computer | using | excel | click | page | access | web | user | server | software | value | protection | internet | network"
48,"['service', 'customer', 'support']",1.4,1.1,188320,2018-11-15,"en-GB",0.073341199,0.347405679,0.197453128,"service | customer | support | contact | provide | offer | provider | team | help | repair | providing | provides | access | bus | online | financial | client | advice | specialist | solution"
49,"['profile', 'linkedin', 'professional']",1,0.6,109175,2018-11-15,"en-GB",0.643848401,0.805229594,0.689559822,"profile | linkedin | professional | view | community | listed | complete | named | largest | job | world | connection | discover | similar | exchange | idea | join | david | leverage | network"
50,"['insurance', 'policy', 'cover']",0.7,0.7,123391,2018-11-15,"en-GB",0.089019219,0.391431246,0.231593149,"insurance | policy | cover | quote | travel | claim | compare | national | insurer | broker | driver | life | financial | home | pet | vehicle | need | liability | cost | pay"
51,"['office', 'microsoft', 'excel']",0.8,1.1,184140,2018-11-15,"en-GB",0.06859888,0.256363554,0.101589181,"office | microsoft | excel | powerpoint | post | outlook | version | onedrive | document | onenote | spreadsheet | presentation | collaborate | furniture | chair | home | registered | head | online | desk"
52,"['cell', 'blood', 'cause']",3.5,2.3,389943,2018-11-15,"en-GB",0.045854159,0.111696164,0.072019113,"cell | blood | cause | body | pain | disease | symptom | cancer | heart | treatment | type | muscle | pressure | skin | condition | common | patient | infection | function | effect"
53,"['gcse', 'paper', 'math']",1.3,1.2,203941,2018-11-15,"en-GB",0.115751677,0.151685317,0.126807144,"gcse | paper | math | question | resource | exam | level | teacher | aqa | revision | learning | english | edexcel | student | science | teaching | language | mark | skill | worksheet"
54,"['inch', 'convert', 'foot']",1,0.8,128474,2018-11-15,"en-GB",0.160713011,0.142905574,0.203732781,"inch | convert | foot | conversion | calculator | unit | centimeter | meter | stone | table | length | formula | pound | equal | kilogram | millimeter | metric | size | square | weight"
55,"['black', 'friday', 'deal']",0.9,0.8,136396,2018-11-15,"en-GB",0.11090097,0.303287594,0.186189691,"black | friday | deal | white | monday | november | sale | offer | amazon | cyber | discount | ops | big | exclusive | tablet | laptop | thanksgiving | xbox | curry | color"
56,"['email', 'password', 'account']",1.4,3.1,516470,2018-11-15,"en-GB",0.231576109,0.481190941,0.376566352,"email | password | account | login | address | sign | username | log | access | mail | enter | user | click | outlook | reset | forgotten | forgot | send | using | gmail"
57,"['business', 'management', 'marketing']",1.2,0.9,156241,2018-11-15,"en-GB",0.016463215,0.221162091,0.080133452,"business | management | marketing | small | solution | customer | market | directory | plan | software | help | finance | strategy | development | manager | enterprise | industry | accounting | project | local"
58,"['delivery', 'store', 'buy']",1.9,2.4,403487,2018-11-15,"en-GB",0.442386631,0.636421999,0.628708441,"delivery | store | buy | order | online | book | amazon | price | low | eligible | shopping | everyday | range | selection | product | collect | today | isbn | shop | tesco"
59,"['centre', 'city', 'manchester']",1.2,0.9,157628,2018-11-15,"en-GB",0.004259603,0.24855948,0.047180917,"centre | city | manchester | garden | medical | street | birmingham | town | glasgow | york | located | west | location | leisure | leeds | shopping | liverpool | road | edinburgh | new"
60,"['light', 'led', 'lighting']",1,0.7,125857,2018-11-15,"en-GB",0.063007521,0.304644977,0.17789012,"light | led | lighting | bulb | lamp | switch | ceiling | outdoor | white | battery | wall | color | blue | garden | solar | colour | red | night | sensor | fitting"
61,"['video', 'instagram', 'post']",1.3,1.5,245180,2018-11-15,"en-GB",0.464343193,0.539583218,0.490052167,"video | instagram | post | photo | follower | youtube | tweet | channel | family | friend | latest | love | share | content | upload | queue | subscribe | sign | hashtag | camera"
62,"['world', 'war', 'country']",1.7,1.7,280357,2018-11-15,"en-GB",0.022991509,0.324123666,0.132963205,"world | war | country | british | history | star | life | battle | army | largest | soldier | military | germany | german | american | fact | state | britain | story | france"
63,"['council', 'planning', 'housing']",0.9,0.7,117909,2018-11-15,"en-GB",0.090602084,0.25999614,0.185893477,"council | planning | housing | local | county | application | postcode | borough | district | area | information | authority | town | parish | city | plan | band | east | development | benefit"
64,"['gift', 'perfect', 'birthday']",0.8,0.7,112628,2018-11-15,"en-GB",0.074771305,0.352744343,0.182859894,"gift | perfect | birthday | idea | personalised | present | item | box | baby | selection | toy | chocolate | unique | shipping | voucher | girl | wedding | set | occasion | hamper"
65,"['bbc', 'radio', 'live']",0.8,1.7,285731,2018-11-15,"en-GB",0.081415929,0.349277473,0.199215862,"bbc | radio | live | station | listen | iplayer | channel | programme | presenter | audio | broadcast | internet | need | television | music | series | broadcasting | online | bitesize | stream"
66,"['test', 'driving', 'vehicle']",1.1,0.9,144899,2018-11-15,"en-GB",0.010037641,0.109331225,0.03736615,"test | driving | vehicle | speed | theory | testing | quiz | question | driver | blood | licence | check | practice | broadband | drive | result | score | sample | dvla | answer"
67,"['club', 'golf', 'course']",0.9,0.7,112757,2018-11-15,"en-GB",0.020900355,0.213860235,0.109669787,"club | golf | course | member | training | swimming | pool | gym | fitness | tee | membership | hole | welcome | rugby | leisure | golfer | class | bridge | volkswagen | green"
68,"['law', 'court', 'act']",2,1.2,209040,2018-11-15,"en-GB",0.019910991,0.158005742,0.084354588,"law | court | act | legal | work | solicitor | right | case | change | pension | regulation | employee | form | state | rule | government | firm | police | employer | contract"
69,"['health', 'mental', 'safety']",1.4,1,161014,2018-11-15,"en-GB",0.043571475,0.375017975,0.104595072,"health | mental | safety | social | hospital | medical | wellbeing | patient | practice | people | care | information | risk | work | healthcare | surgery | public | training | assessment | trust"
70,"['iphone', 'apple', 'phone']",1,1.1,186992,2018-11-15,"en-GB",0.107230997,0.290086025,0.206511775,"iphone | apple | phone | mobile | ipad | samsung | device | galaxy | app | android | screen | sim | case | camera | tablet | battery | apps | mac | ipod | computer"
71,"['year', 'old', 'new']",1.3,1,163784,2018-11-15,"en-GB",0.016785685,0.385742428,0.108074092,"year | old | new | calendar | age | month | early | ago | life | girl | born | week | boy | stage | experience | average | end | award | national | period"
72,"['john', 'lewis', 'advert']",1,1,170838,2018-11-15,"en-GB",0.098807303,0.227460291,0.173515724,"john | lewis | advert | elton | partner | sir | order | born | piano | shop | delivery | church | waitrose | range | partnership | star | actor | street | martin | electricals"
73,"['word', 'letter', 'document']",1.3,1,163405,2018-11-15,"en-GB",0.02515092,0.218443052,0.101033855,"word | letter | document | list | text | phrase | scrabble | spelling | use | template | microsoft | english | page | sentence | language | writing | sound | write | pdf | click"
74,"['best', 'hair', 'place']",1,0.8,142188,2018-11-15,"en-GB",0.013554715,0.164032963,0.056658013,"best | hair | place | price | list | compare | guide | way | thing | offer | looking | deal | quote | money | review | make | help | right | just | want"
0,"['service', 'customer', 'support']",1.7,1.3,203976,2018-11-16,"en-GB",0.038165442,0.300849289,0.168572797,"service | customer | support | contact | provide | offer | bus | provider | repair | team | help | providing | provides | access | financial | client | solution | advice | management | specialist"
1,"['porn', 'video', 'sex']",2.5,3,470412,2018-11-16,"en-GB",0.630079574,0.797930907,0.708123312,"porn | video | sex | xxx | tube | quality | watch | pornhubcom | clip | movie | growing | relevant | high | collection | discover | pornhub | scene | teen | gay | xhamster"
2,"['delivery', 'store', 'buy']",2.3,2.4,372920,2018-11-16,"en-GB",0.426574089,0.460601466,0.482921703,"delivery | online | store | buy | product | range | order | price | shop | door | shopping | home | today | selection | available | great | low | quality | furniture | collect"
3,"['property', 'sale', 'agent']",1.5,1.1,171339,2018-11-16,"en-GB",0.550025735,0.715260456,0.630346703,"property | sale | agent | estate | flat | rent | rightmove | house | bedroom | portal | search | developer | letting | datadriven | leading | buy | zoopla | home | primelocation | largest"
4,"['job', 'apply', 'hiring']",1.7,1.6,246619,2018-11-16,"en-GB",0.52595406,0.685886538,0.558654368,"job | apply | hiring | indeedcouk | site | largest | world | totaljobs | career | vacancy | recruitment | noticed | salary | latest | search | instant | match | reedcouk | manager | today"
5,"['school', 'primary', 'academy']",1.7,1.5,242246,2018-11-16,"en-GB",0.08981321,0.401191693,0.215411639,"school | primary | academy | pupil | secondary | college | education | comparison | high | welcome | teacher | term | parent | girl | catholic | date | list | boy | community | church"
6,"['game', 'play', 'online']",2.1,3,472618,2018-11-16,"en-GB",0.072124149,0.534234413,0.316067364,"game | play | online | fun | xbox | player | unblocked | math | kid | puzzle | console | fortnite | gaming | cool | nintendo | playstation | multiplayer | video | playing | board"
7,"['restaurant', 'review', 'tripadvisor']",1.7,1.3,210105,2018-11-16,"en-GB",0.339438186,0.655943062,0.566032114,"restaurant | review | tripadvisor | bar | menu | pub | rated | dining | unbiased | ranked | traveller | table | cuisine | location | takeaway | inn | indian | read | italian | pizza"
8,"['company', 'limited', 'registered']",1.8,1.2,181989,2018-11-16,"en-GB",0.471625003,0.647897615,0.511868122,"company | limited | office | registered | filing | history | address | house | annual | information | officer | return | account | activity | charge | director | financial | contact | registration | network"
9,"['christmas', 'tree', 'festive']",1.3,1.1,166316,2018-11-16,"en-GB",0.042274029,0.321146511,0.136144216,"christmas | tree | festive | decoration | market | santa | party | shipping | perfect | item | selection | carol | largest | season | craft | december | event | ebay | xmas | advert"
10,"['window', 'microsoft', 'update']",1.4,1.9,294775,2018-11-16,"en-GB",0.064468187,0.35890749,0.201003898,"window | microsoft | update | version | app | install | setting | click | bit | apps | screen | open | server | explorer | desktop | start | key | program | fix | change"
11,"['news', 'latest', 'breaking']",1.7,4,625999,2018-11-16,"en-GB",0.213685403,0.725926013,0.404967067,"news | latest | breaking | story | sport | video | tweet | headline | analysis | update | daily | newspaper | bbc | politics | commentary | traffic | newsnow | audio | entertainment | live"
12,"['house', 'price', 'average']",1.2,0.7,108198,2018-11-16,"en-GB",0.406029074,0.537915061,0.482913591,"house | price | sold | average | road | property | postcode | checker | tool | exactly | value | rightmove | information | registry | based | land | current | street | historic | use"
13,"['number', 'phone', 'mobile']",1.1,0.9,141449,2018-11-16,"en-GB",0.07884528,0.35419215,0.166148254,"number | phone | telephone | calling | called | contact | user | area | report | digit | plate | read | customer | information | landline | searched | registration | rating | received | cost"
14,"['world', 'war', 'country']",2.5,2.5,395323,2018-11-16,"en-GB",0.014502779,0.205106236,0.058451308,"world | war | country | british | art | united | state | life | history | star | family | kingdom | international | england | american | born | britain | largest | royal | army"
15,"['weather', 'forecast', 'temperature']",0.7,0.8,121738,2018-11-16,"en-GB",0.411776374,0.631974158,0.560171148,"weather | forecast | temperature | day | rain | wind | accuweathercom | hourly | report | warning | united | cloud | kingdom | shower | sunny | breeze | precipitation | pressure | speed | outlook"
16,"['facebook', 'people', 'connect']",1.3,1.9,291216,2018-11-16,"en-GB",0.552584752,0.61435803,0.573094033,"facebook | people | connect | know | power | join | named | share | view | friend | profile | family | tweet | log | instagram | make | post | video | follower | page"
17,"['email', 'address', 'mail']",1,2.4,381937,2018-11-16,"en-GB",0.070939305,0.466833443,0.192844521,"email | address | mail | outlook | send | message | office | yahoo | gmail | microsoft | contact | inbox | sent | using | hotmail | outlookcom | server | receive | automatically | royal"
18,"['train', 'ticket', 'bus']",1.3,1.4,212836,2018-11-16,"en-GB",0.198275085,0.353186886,0.288262163,"ticket | train | bus | station | travel | trainline | rail | live | cheap | event | tour | journey | europe | retailer | theatre | buy | route | independent | timetable | leading"
19,"['music', 'song', 'lyric']",2.6,2.3,356681,2018-11-16,"en-GB",0.160473052,0.481912246,0.290687663,"music | song | lyric | album | youtube | video | love | artist | listen | amazon | official | track | band | stream | original | rock | play | hit | single | piano"
20,"['rate', 'currency', 'exchange']",0.6,0.5,80826,2018-11-16,"en-GB",0.342129394,0.487417219,0.433622007,"rate | currency | exchange | pound | gbp | dollar | euro | british | usd | sterling | eur | converter | foreign | convert | chart | money | live | conversion | travel | history"
21,"['flight', 'airport', 'airline']",0.8,0.8,128619,2018-11-16,"en-GB",0.234186593,0.578913754,0.369277539,"flight | airport | airline | cheap | airway | departure | compare | status | travel | arrival | heathrow | air | manchester | price | tracker | destination | international | track | route | terminal"
22,"['child', 'kid', 'need']",1.4,1.2,193913,2018-11-16,"en-GB",0.04137912,0.400403834,0.173330383,"child | need | young | kid | parent | family | fundraising | pudsey | charity | adult | support | bbc | baby | help | childrens | people | age | safeguarding | bear | activity"
23,"['code', 'discount', 'voucher']",1.1,1.2,189652,2018-11-16,"en-GB",0.207896857,0.338849015,0.310964526,"code | discount | voucher | promo | november | coupon | area | tested | country | valid | verified | money | offer | latest | saving | spend | roblox | international | dialling | deal"
24,"['best', 'hair', 'place']",0.9,0.8,120901,2018-11-16,"en-GB",0.032398555,0.280348417,0.059124708,"best | price | list | place | hair | compare | guide | deal | review | way | looking | offer | money | right | quote | thing | good | want | just | make"
25,"['hotel', 'book', 'stay']",1,1.1,179378,2018-11-16,"en-GB",0.364530043,0.56111947,0.477901495,"hotel | stay | tripadvisor | room | great | deal | candid | inn | spa | traveller | review | book | availability | luxury | city | accommodation | photo | break | guest | star"
26,"['black', 'friday', 'deal']",0.8,0.9,142311,2018-11-16,"en-GB",0.197462849,0.394514921,0.283291047,"black | friday | deal | amazon | sale | monday | november | offer | cyber | discount | white | exclusive | ops | tablet | xbox | curry | big | bargain | shopping | thanksgiving"
27,"['stone', 'pound', 'convert']",0.8,0.6,98497,2018-11-16,"en-GB",0.14309981,0.087146755,0.094070109,"stone | pound | convert | conversion | kilogram | calculator | unit | table | weight | formula | mass | metric | equal | gram | converter | kilo | use | mile | ounce | answer"
28,"['council', 'planning', 'housing']",1.1,0.8,129115,2018-11-16,"en-GB",0.069230769,0.198666907,0.103206629,"council | planning | housing | city | application | local | county | area | postcode | district | information | borough | england | authority | town | court | building | north | east | government"
29,"['movie', 'watch', 'online']",1.5,1.7,264746,2018-11-16,"en-GB",0.125663028,0.502678967,0.398729673,"movie | watch | online | film | episode | cinema | series | season | putlocker | streaming | stream | trailer | channel | netflix | subtitle | registration | dvd | queue | latest | star"
30,"['image', 'stock', 'photo']",1.4,1,159244,2018-11-16,"en-GB",0.261619069,0.450284112,0.300922441,"image | photo | stock | vector | million | picture | affordable | royalty | instagram | royaltyfree | illustration | post | cartoon | search | commercial | art | collection | follower | attribution | shutterstock"
31,"['london', 'street', 'east']",1.3,1,158305,2018-11-16,"en-GB",0.021773111,0.278518986,0.084692508,"london | street | city | theatre | station | east | kingdom | road | england | west | south | united | central | bridge | borough | underground | greater | tower | event | king"
32,"['woman', 'men', 'shoe']",1.8,1.9,301927,2018-11-16,"en-GB",0.160904842,0.357546198,0.190643778,"woman | dress | men | clothing | jacket | shop | fashion | coat | style | girl | shirt | range | lady | size | collection | discover | debenhams | clothes | asos | latest"
33,"['card', 'credit', 'payment']",0.9,1.2,191584,2018-11-16,"en-GB",0.038699202,0.29818231,0.116864372,"card | credit | payment | debit | greeting | balance | money | pay | sim | birthday | graphic | reward | travel | account | transfer | purchase | online | memory | apply | visa"
34,"['file', 'open', 'pdf']",1,1.1,177782,2018-11-16,"en-GB",0.106163825,0.362588725,0.176246227,"file | open | pdf | folder | format | document | program | extension | click | convert | text | drive | select | software | want | application | type | adobe | command | create"
35,"['ebay', 'shop', 'great']",2.9,2.6,406306,2018-11-16,"en-GB",0.927298094,0.956155073,0.952218147,"ebay | shop | deal | great | confidence | selection | toy | item | shipping | bag | kit | set | vintage | bike | feed | model | shopping | battery | wheel | box"
36,"['care', 'home', 'nursing']",1,0.7,102925,2018-11-16,"en-GB",0.141902704,0.39056249,0.232977276,"care | home | nursing | social | residential | dementia | carehomecouk | support | people | adult | inspection | patient | visit | housing | leading | resident | healthcare | provider | quality | living"
37,"['opening', 'map', 'contact']",1.6,1.1,166409,2018-11-16,"en-GB",0.709410097,0.801621052,0.77345255,"map | opening | contact | direction | local | search | photo | yell | video | hour | review | road | street | driving | phone | time | address | submit | store | postcode"
38,"['crossword', 'clue', 'answer']",0.5,0.4,70123,2018-11-16,"en-GB",0.52743423,0.729397764,0.670959242,"crossword | clue | answer | puzzle | solver | synonym | anagram | solution | daily | possible | definition | related | question | seen | spotted | solve | mirror | able | quiz | cryptic"
39,"['university', 'student', 'course']",1.3,1.4,215156,2018-11-16,"en-GB",0.108998409,0.484812558,0.271257916,"university | student | course | college | research | study | education | degree | campus | library | staff | academic | undergraduate | learning | science | postgraduate | ranking | oxford | fee | cambridge"
